Sl.No,Molecule_Smiles,Combination_Code
259,CNC(O)(O)C,F3-F6-F1-F1
260,OCNC(N)N,F1-F4-F6-F4
261,NCNC(O)N,F1-F4-F6-F4
262,NC(C(N)N)O,F1-F4-F6-F4
263,NCC(O)(N)N,F1-F4-F6-F4
264,OC(C(=O)N)O,F5-F9-F3-F4
265,NCC(CO)O,F5-F5-F1-F4
266,NCCOCO,F5-F5-F1-F4
267,COC(CN)O,F5-F5-F1-F4
268,OCC(CO)N,F1-F5-F5-F4
269,OC(CCN)O,F3-F5-F2-F4
270,OCNC(O)N,F6-F6
271,NC(C(O)N)O,F6-F6
272,NCOC(O)N,F6-F6
273,OCC(O)(N)N,F4-F6-F5
274,COC(O)(N)N,F4-F6-F5
275,OCOC(N)N,F4-F6-F5
276,OCOCCO,F5-F5-F5
277,OCC(CO)O,F5-F5-F5
278,COC(CO)O,F5-F5-F5
279,COCOCO,F5-F5-F5
280,COC(OC)O,F5-F5-F5
281,NCNC(O)O,F3-F6-F1-F4
282,CNC(O)(O)N,F3-F6-F1-F4
283,NCC(O)(O)N,F3-F6-F1-F4
284,O=CC(O)(O)O,F5-F9-F3-F3
285,COCC(O)O,F5-F5-F1-F3
286,OC(C(O)C)O,F5-F5-F1-F3
287,OCC(O)(O)C,F5-F5-F1-F3
288,OCOC(O)C,F5-F5-F1-F3
289,CCOC(O)O,F5-F5-F1-F3
290,COC(O)(O)C,F5-F5-F1-F3
291,OCCC(O)O,F1-F5-F5-F3
292,OC(C=O)CF,F5-F9-F1-F12
293,CC(C=O)(F)O,F5-F9-F1-F12
294,CC(C(=O)F)O,F5-F9-F1-F12
295,OCC(=O)CF,F5-F9-F1-F12
296,CC(=O)C(F)O,F5-F9-F1-F12
297,OC(CC=O)F,F1-F5-F9-F12
298,OCC(C=O)F,F1-F5-F9-F12
299,OCCC(=O)F,F1-F5-F9-F12
300,OC(CCC)F,F5-F12-F1-F2
301,CCC(F)(O)C,F5-F12-F1-F2
302,FCC(CC)O,F1-F12-F5-F2
303,OCC(CC)F,F1-F12-F5-F2
304,OC(OCC)O,F3-F5-F3-F2
305,CCC(O)(O)O,F3-F5-F3-F2
306,OC(CCO)O,F2-F3-F5-F3
307,FC(=O)CCO,F9-F12-F2-F3
308,CC(CCF)O,F2-F12-F5-F1
309,OCCCCF,F1-F2-F5-F12
310,OCNC(O)O,F3-F6-F5
311,OCC(O)(O)N,F3-F6-F5
312,COC(O)(O)N,F3-F6-F5
313,OCOC(O)N,F3-F6-F5
314,OC(NC=O)F,F6-F12-F9
315,NC(C=O)(F)O,F6-F12-F9
316,OC(C(O)N)O,F3-F5-F6
317,NCOC(O)O,F3-F5-F6
318,OCNC(=O)F,F9-F12-F6
319,NC(C(=O)F)O,F9-F12-F6
320,CNC(O)(O)O,F3-F6-F1-F3
321,FCCNCO,F1-F1-F6-F12
322,CC(NCO)F,F1-F1-F6-F12
323,CCNC(F)O,F1-F1-F6-F12
324,NC(CCF)O,F1-F1-F6-F12
325,NC(C(F)C)O,F1-F1-F6-F12
326,CCC(F)(O)N,F1-F1-F6-F12
327,NC(=O)C(F)O,F5-F9-F4-F12
328,OC(N(C)C)F,F1-F6-F1-F12
